_row_idx,task,prefill_time,decode_time,total_time,prompt_tokens,completion_tokens,total_tokens
97,CREATION,0.008954431861639023,5.0756360702216625,5.0845905020833015,272,1154,1426
98,CREATION,0.007019244134426117,6.514888823032379,6.521908067166805,151,1481,1632
99,CREATION,0.007275847718119621,5.725354099646211,5.73262994736433,196,1302,1498
100,CREATION,0.00839473307132721,5.966512413695455,5.974907146766782,291,1353,1644
101,CREATION,0.011422509327530861,5.402294287458062,5.413716796785593,407,1224,1631
102,CREATION,0.008379319682717323,5.090980976819992,5.099360296502709,288,1157,1445
103,CREATION,0.008272100239992142,6.422983132302761,6.431255232542753,314,1454,1768
104,CREATION,0.008621975779533386,5.413539921864867,5.422161897644401,276,1230,1506
105,CREATION,0.008233791217207909,5.463238339871168,5.471472131088376,347,1239,1586
106,CREATION,0.008452199399471283,6.001485750079155,6.009937949478626,277,1361,1638
107,CREATION,0.00847519189119339,5.442800486460328,5.4512756783515215,282,1236,1518
108,CREATION,0.008437467738986015,6.455925913527608,6.464363381266594,305,1462,1767
109,CREATION,0.007429400458931923,5.42660222761333,5.434031628072262,223,1234,1457
110,CREATION,0.008558692410588264,5.931661808863282,5.9402205012738705,293,1345,1638
111,CREATION,0.008406464010477066,8.674739310517907,8.683145774528384,353,1953,2306
112,CREATION,0.00834842398762703,5.882057275623083,5.89040569961071,340,1333,1673
113,CREATION,0.008672524243593216,4.5506033301353455,4.559275854378939,269,1036,1305
114,CREATION,0.008411340415477753,5.516807476058602,5.52521881647408,306,1252,1558
115,CREATION,0.012117687612771988,5.759036129340529,5.771153816953301,398,1304,1702
116,CREATION,0.007247228175401688,6.332131486386061,6.339378714561462,188,1438,1626
117,CREATION,0.008481919765472412,5.546435281634331,5.554917201399803,289,1259,1548
118,CREATION,0.007269084453582764,6.448768455535173,6.456037539988756,218,1463,1681
119,CREATION,0.011666335165500641,4.627172267064452,4.638838602229953,425,1050,1475
120,CREATION,0.008676379919052124,5.62775813229382,5.6364345122128725,268,1278,1546
121,CREATION,0.00880107656121254,5.973787089809775,5.982588166370988,258,1356,1614
122,CREATION,0.009022532030940056,4.970750905573368,4.979773437604308,245,1131,1376
123,CREATION,0.008152259513735771,6.324442224577069,6.332594484090805,324,1432,1756
124,CREATION,0.008236894384026527,5.5115564949810505,5.519793389365077,338,1250,1588
125,CREATION,0.008174769580364227,5.814353248104453,5.822528017684817,322,1318,1640
126,CREATION,0.006908362731337547,7.753789683803916,7.7606980465352535,150,1757,1907
127,CREATION,0.008337004110217094,5.426760725677013,5.4350977297872305,292,1232,1524
128,CREATION,0.00704372301697731,6.28918875567615,6.296232478693128,210,1428,1638
129,CREATION,0.008229633793234825,5.7538905665278435,5.762120200321078,314,1305,1619
130,CREATION,0.007109090685844421,5.493850454688072,5.500959545373917,216,1250,1466
131,CREATION,0.008278517052531242,5.2812812607735395,5.289559777826071,296,1200,1496
132,CREATION,0.008260125294327736,5.996919464319944,6.005179589614272,299,1360,1659
133,CREATION,0.011554999276995659,6.484617171809077,6.496172171086073,367,1467,1834
134,CREATION,0.008273260667920113,6.295542484149337,6.303815744817257,292,1427,1719
135,CREATION,0.008872603997588158,5.634083496406674,5.6429561004042625,251,1280,1531
136,CREATION,0.007009454071521759,6.0002813301980495,6.007290784269571,196,1364,1560
137,CREATION,0.008585600182414055,10.234856666997075,10.24344226717949,263,2300,2563
139,CREATION,0.008990613743662834,5.832626156508923,5.841616770252585,255,1324,1579
140,CREATION,0.00836864486336708,5.464786499738693,5.47315514460206,335,1240,1575
141,CREATION,0.007103383541107178,6.02691774815321,6.034021131694317,179,1370,1549
142,CREATION,0.007114578038454056,7.045088989660144,7.052203567698598,195,1597,1792
143,CREATION,0.01173451915383339,5.804890308529139,5.816624827682972,363,1315,1678
144,CREATION,0.00849931687116623,6.029523126780987,6.038022443652153,293,1367,1660
145,CREATION,0.007187444716691971,5.498354697600007,5.505542142316699,206,1251,1457
146,CREATION,0.00915214791893959,6.242767591029406,6.251919738948345,227,1417,1644
147,CREATION,0.00851278007030487,6.086554452776909,6.095067232847214,279,1380,1659
148,CREATION,0.00842205062508583,6.577006988227367,6.585429038852453,307,1489,1796
149,CREATION,0.008457478135824203,5.727888133376837,5.736345611512661,280,1300,1580
150,CREATION,0.011250313371419907,4.944717234000564,4.9559675473719835,394,1122,1516
151,CREATION,0.008876167237758636,5.515735371038318,5.524611538276076,237,1254,1491
152,CREATION,0.008266318589448929,7.175451286137104,7.183717604726553,315,1622,1937
153,CREATION,0.008244935423135757,4.823845824226737,4.832090759649873,337,1096,1433
154,CREATION,0.008644329383969307,5.354606559500098,5.3632508888840675,263,1217,1480
155,CREATION,0.008640611544251442,6.387358978390694,6.395999589934945,259,1448,1707
156,CREATION,0.008180525153875351,5.39212422631681,5.400304751470685,321,1224,1545
157,CREATION,0.009038146585226059,5.733405729755759,5.742443876340985,225,1303,1528
158,CREATION,0.008572645485401154,4.739202214404941,4.747774859890342,287,1078,1365
159,CREATION,0.008868670091032982,5.677210435271263,5.686079105362296,234,1290,1524
160,CREATION,0.011249339208006859,6.193185523152351,6.204434862360358,382,1401,1783
161,CREATION,0.008920755237340927,6.696843661367893,6.705764416605234,238,1518,1756
162,CREATION,0.00824008695781231,6.6920590959489346,6.700299182906747,324,1514,1838
163,CREATION,0.008807873353362083,5.224985955283046,5.233793828636408,253,1188,1441
164,CREATION,0.008853519335389137,4.929848615080118,4.938702134415507,245,1122,1367
165,CREATION,0.008405596017837524,5.781685164198279,5.790090760216117,274,1312,1586
166,CREATION,0.008558381348848343,6.2821859158575535,6.290744297206402,272,1424,1696
167,CREATION,0.008406680077314377,5.683164307847619,5.691570987924933,276,1290,1566
168,CREATION,0.007116779685020447,5.395001977682114,5.402118757367134,210,1227,1437
169,CREATION,0.008681805804371834,5.418172027915716,5.426853833720088,263,1231,1494
170,CREATION,0.011919671669602394,5.15853968821466,5.170459359884262,390,1170,1560
171,CREATION,0.0070981308817863464,5.474127814173698,5.481225945055485,201,1246,1447
172,CREATION,0.011610155925154686,6.0830006543546915,6.094610810279846,411,1376,1787
173,CREATION,0.008832989260554314,5.244854412972927,5.253687402233481,253,1193,1446
174,CREATION,0.008396787568926811,5.858385663479567,5.866782451048493,312,1328,1640
175,CREATION,0.008505312725901604,6.176908444613218,6.18541375733912,281,1400,1681
176,CREATION,0.008383220061659813,6.423815174028277,6.432198394089937,332,1454,1786
177,CREATION,0.009008068591356277,5.930775824934244,5.9397838935256,257,1346,1603
178,CREATION,0.008972985669970512,5.851129228249192,5.860102213919163,234,1329,1563
179,CREATION,0.008324133232235909,5.261546142399311,5.269870275631547,335,1194,1529
180,CREATION,0.008464997634291649,6.177570989355445,6.186035986989737,287,1400,1687
181,CREATION,0.012037118896842003,5.47870859131217,5.490745710209012,393,1241,1634
182,CREATION,0.008821835741400719,5.716102000325918,5.724923836067319,259,1298,1557
183,CREATION,0.008346730843186378,4.863159580156207,4.8715063109993935,339,1105,1444
184,CREATION,0.007344523444771767,6.504983091726899,6.512327615171671,204,1476,1680
185,CREATION,0.008353857323527336,5.153440913185477,5.161794770509005,341,1170,1511
186,CREATION,0.007423814386129379,5.873422551900148,5.880846366286278,177,1336,1513
187,CREATION,0.007266191765666008,5.409667167812586,5.416933359578252,172,1232,1404
188,CREATION,0.008380835875868797,6.081417618319392,6.089798454195261,314,1378,1692
189,CREATION,0.008466886356472969,5.376005819067359,5.384472705423832,292,1221,1513
190,CREATION,0.008587092161178589,5.745302515104413,5.753889607265592,282,1304,1586
191,CREATION,0.009216774255037308,5.192330684512854,5.201547458767891,242,1181,1423
192,CREATION,0.008999023586511612,5.715372316539288,5.724371340125799,247,1298,1545
193,CREATION,0.008743885904550552,5.162846861407161,5.171590747311711,260,1174,1434
194,CREATION,0.008557602763175964,6.399578176438808,6.408135779201984,281,1450,1731
195,CREATION,0.008993217721581459,7.146728286519647,7.155721504241228,250,1618,1868
196,CREATION,0.011398812755942345,6.109561003744602,6.1209598165005445,389,1382,1771
197,CREATION,0.0084226094186306,5.635524919256568,5.6439475286751986,301,1279,1580
198,CREATION,0.008382456377148628,8.582823695614934,8.591206151992083,368,1932,2300
199,CREATION,0.008420754224061966,6.196918552741408,6.20533930696547,344,1403,1747
200,CREATION,0.008416153490543365,4.97707137092948,4.985487524420023,302,1131,1433
201,CREATION,0.00858035497367382,5.677993983030319,5.686574338003993,274,1289,1563
202,CREATION,0.008833426982164383,5.699262263253331,5.708095690235496,262,1294,1556
203,CREATION,0.007196091115474701,5.501194221898913,5.508390313014388,194,1252,1446
204,CREATION,0.011372851207852364,5.46830958686769,5.4796824380755424,380,1239,1619
205,CREATION,0.008766476064920425,5.0462131686508656,5.054979644715786,260,1148,1408
206,CREATION,0.008415551856160164,4.610647043213248,4.619062595069408,297,1049,1346
207,CREATION,0.008685417473316193,5.025962067767978,5.034647485241294,270,1143,1413
208,CREATION,0.007215591147542,5.854691242799163,5.861906833946705,228,1330,1558
209,CREATION,0.008523376658558846,4.9380297642201185,4.946553140878677,274,1123,1397
210,CREATION,0.008729763329029083,6.714446492493153,6.723176255822182,265,1521,1786
211,CREATION,0.007208270952105522,6.726044645532966,6.733252916485071,219,1525,1744
212,CREATION,0.00864352285861969,7.4707658495754,7.47940937243402,268,1689,1957
213,CREATION,0.011737074702978134,6.050969323143363,6.062706397846341,362,1370,1732
214,CREATION,0.00838218629360199,5.761218748986721,5.769600935280323,344,1306,1650
215,CREATION,0.008614396676421165,4.661854384467006,4.670468781143427,280,1061,1341
